socket,InternetOpen,shutdown,sendto,connect,bind,listen,accept,recv,send,InternetOpenUrl,InternetReadFile,InternetWriteFile
1018,0,614,512356,634,906,2,7,9364,2983,0,1015,0
1026,0,619,514532,640,915,2,7,9426,3008,0,1023,0
1034,0,624,516708,646,924,2,7,9488,3033,0,1031,0
1042,0,629,518884,652,933,2,7,9550,3058,0,1039,0
1050,0,634,521060,658,942,2,7,9628,3084,0,1048,0
1054,0,637,522596,659,943,2,7,9628,3084,0,1048,0
1062,0,642,524772,665,952,2,7,9690,3109,0,1056,0
1070,0,647,526948,671,961,2,7,9753,3134,0,1064,0
1079,0,652,529124,677,971,2,7,9816,3159,0,1072,0
1086,0,655,530660,681,978,2,7,9850,3171,0,1073,0
