FindNextFile,FindFirstFile,FindFirstFileEx,SetFilePointer,SetFilePointerEx,GetFileSize,GetFileSizeEx,SetFileAttributes,GetFileType,CopyFileEx,CopyFile,DeleteFile,EncryptFile,NtReadFile,NtWriteFile,GetFileAttributes,GetFileAttributesEx,CryptDeriveKey,CryptDecodeObject,CryptGenKey,CryptImportPublicKeyInfo,CryptAcquireContext,CryptAcquireContextW,RegCloseKey,RegCreateKeyExW,RegDeleteKeyW,RegQueryValueExW,RegSetValueExW,RegEnumKeyExA,RegOpenKeyExW,NtQueryValueKey,NtOpenKey,socket,InternetOpen,shutdown,sendto,connect,bind,listen,accept,recv,send,InternetOpenUrl,InternetReadFile,InternetWriteFile,CreateThread,CreateRemoteThread,NtResumeThread,NtGetContextThread,NtSetContextThread,CreateProcessInternalW,NtOpenProcess,Process32NextW,Process32FirstW,NtTerminateProcess,test
0,0,0,24180,87955,1068,20995,0,841,0,0,0,0,694559,502275,0,0,0,0,0,0,0,40985,140444,2136,9,126258,828,3286,106456,41717,8554,197,0,127,114843,104,154,0,0,1025,392,0,146,0,585,0,237,28,28,292,4008,3069,92,686,Cerber
0,0,0,24598,88091,1084,21022,0,862,0,0,0,0,719082,502475,0,0,0,0,0,0,0,40992,142808,2216,9,127933,848,3687,108858,42066,8984,205,0,132,117019,110,163,0,0,1087,417,0,154,0,603,0,245,28,28,299,4019,3069,92,703,Cerber
0,0,0,25150,88225,1122,21060,0,883,0,0,0,0,743905,502684,0,0,0,0,0,0,0,40997,144459,2254,9,131231,858,3749,110911,42191,9160,211,0,134,118171,114,170,0,0,1131,432,0,185,0,619,0,253,29,29,304,4043,3069,92,716,Cerber
0,0,0,25763,88398,1151,21103,0,907,0,0,0,0,768768,502937,0,0,0,0,0,0,0,41002,146141,2299,9,134359,870,3804,112913,42684,9382,219,0,139,120347,120,179,0,0,1193,457,0,193,0,635,0,261,30,30,309,4068,3102,93,730,Cerber
0,0,0,25764,88398,1151,21103,0,907,0,0,0,0,768770,502937,0,0,0,0,0,0,0,41002,146142,2299,9,134359,870,3804,112913,42686,9384,219,0,139,120347,120,179,0,0,1193,457,0,193,0,635,0,261,30,30,310,4068,3102,93,736,Cerber
0,0,0,26196,88513,1167,21125,0,928,0,0,0,0,793299,503114,0,0,0,0,0,0,0,41009,148697,2382,9,136113,893,4201,115512,43042,9827,227,0,144,122523,126,188,0,0,1252,481,0,201,0,653,0,269,30,30,317,4079,3102,93,754,Cerber
0,0,0,26196,88513,1167,21125,0,931,0,0,0,0,793299,503114,0,0,0,0,0,0,0,41009,148697,2382,9,136113,893,4201,115512,43042,9827,227,0,144,122523,126,188,0,0,1252,481,0,201,0,653,0,269,30,30,317,4079,3102,93,754,Cerber
0,0,0,26316,88513,1252,21253,0,951,0,0,0,0,793611,503133,0,0,0,0,0,0,0,41012,151356,2448,11,139550,921,4207,118564,47661,10253,229,0,146,155291,126,188,0,0,1252,481,0,201,0,670,0,278,30,30,335,4276,3102,93,804,Cerber
0,0,0,26578,88789,1322,21401,0,964,0,0,0,0,794001,506704,0,0,0,0,0,0,0,41013,153182,2525,13,142139,951,4213,120717,52251,10631,231,0,148,188059,126,188,0,0,1252,481,0,203,0,692,0,285,30,30,349,4456,3102,93,841,Cerber
0,0,0,26640,88791,1328,21444,0,973,0,0,0,0,794356,506770,0,0,0,0,0,0,0,41014,155105,2570,13,148302,969,4219,123010,52976,10727,231,0,148,188059,126,188,0,0,1252,481,0,203,0,694,0,286,31,31,354,4530,3102,93,852,Cerber
0,0,0,26768,88793,1337,21458,0,986,0,0,0,0,794574,506789,0,0,0,0,0,0,0,41014,156033,2573,13,151502,977,4264,124353,53019,10852,231,0,148,188059,126,188,0,0,1252,481,0,203,0,696,0,289,31,31,357,4549,3369,100,862,Cerber
0,0,0,27355,88951,1356,21498,0,1010,0,0,0,0,819490,507010,0,0,0,0,0,0,0,41019,157565,2620,13,154739,990,4326,126226,53668,11053,239,0,153,190235,132,197,0,0,1325,506,0,211,0,711,0,296,32,32,362,4575,3465,103,875,Cerber
0,0,0,27431,90478,1361,21814,0,1029,0,0,0,0,820316,508616,0,0,0,0,0,0,0,41934,157956,2620,13,157027,990,4332,126740,53702,11094,241,0,155,192283,132,197,0,0,1325,506,0,211,0,718,0,297,33,33,365,4589,3739,111,881,Cerber
0,0,0,27444,90479,1362,21826,0,1029,0,0,0,0,845933,558921,0,0,0,0,0,0,0,41934,158299,2620,13,159271,990,4332,127223,53711,11123,241,0,155,192283,132,197,0,0,1325,506,0,211,0,718,0,297,33,33,365,4603,3739,111,881,Cerber
0,0,0,28071,90631,1398,21866,0,1050,0,0,0,0,870784,559158,0,0,0,0,0,0,0,41939,159976,2666,13,162617,1003,4397,129510,53842,11319,249,0,160,193435,138,206,0,0,1400,531,0,219,0,733,0,304,34,34,370,4627,3771,112,894,Cerber
0,0,0,28075,90631,1400,21888,0,1061,0,0,0,0,870812,559163,0,0,0,0,0,0,0,41940,161337,2684,15,164566,1014,4403,131117,55008,11404,249,0,160,193435,138,206,0,0,1400,531,0,219,0,736,0,304,34,34,375,4681,3771,112,904,Cerber
0,0,0,28670,90798,1436,21929,0,1082,0,0,0,0,895638,559410,0,0,0,0,0,0,0,41945,163011,2730,15,167912,1027,4464,133246,55138,11600,257,0,165,194587,144,215,0,0,1463,556,0,227,0,751,0,311,35,35,380,4705,3929,117,917,Cerber
0,0,0,29601,99019,1490,23638,0,1131,0,0,0,0,923743,568049,0,0,0,0,0,0,0,46877,166787,2971,15,171117,1136,4519,137423,56221,11910,261,0,168,196123,145,216,0,0,1463,556,0,227,0,783,0,325,35,35,390,4915,4001,119,933,Cerber
0,0,0,29604,99019,1491,23657,0,1137,0,0,0,0,923766,568055,0,0,0,0,0,0,0,46878,167926,2984,15,172792,1143,4525,138685,56782,11948,261,0,168,196123,145,216,0,0,1463,556,0,227,0,786,0,325,35,35,393,4959,4001,119,941,Cerber
0,0,0,29617,99177,1507,23690,0,1144,0,0,0,0,923885,568265,0,0,0,0,0,0,0,46885,170514,3013,15,174315,1153,4922,148337,57054,12378,270,0,174,198299,152,226,0,0,1528,582,0,240,0,804,0,335,36,36,401,4970,4001,119,962,Cerber
0,0,0,30374,107408,1546,25397,0,1194,0,0,0,0,951846,576906,0,0,0,0,0,0,0,51819,173169,3247,15,176884,1254,4963,151304,57430,12617,274,0,177,199835,153,227,0,0,1528,582,0,240,0,829,0,346,36,36,410,5143,4075,121,978,Cerber
0,0,0,30971,107542,1581,25435,0,1215,0,0,0,0,976749,577129,0,0,0,0,0,0,0,51824,174844,3294,15,180167,1267,5024,153437,58211,12819,282,0,182,200987,159,236,0,0,1590,607,0,248,0,844,0,353,37,37,415,5169,4139,123,991,Cerber
0,0,0,31019,107542,1611,25469,0,1226,0,0,0,0,976860,577134,0,0,0,0,0,0,0,51827,176273,3310,17,182146,1278,5030,155116,61524,12982,282,0,182,200987,159,236,0,0,1590,607,0,248,0,854,0,356,37,37,423,5295,4139,123,1012,Cerber
0,0,0,31502,107682,1631,25508,0,1247,0,0,0,0,1001556,577356,0,0,0,0,0,0,0,51832,177867,3386,17,185372,1300,5089,157113,62098,13191,290,0,187,203163,165,245,0,0,1664,632,0,256,0,869,0,363,38,38,428,5320,4172,124,1027,Cerber
0,0,0,31821,107845,1668,25558,0,1268,0,0,0,0,1002110,577574,0,0,0,0,0,0,0,51839,180227,3442,17,186924,1314,5486,161526,66253,13702,298,0,192,205339,171,254,0,0,1728,657,0,264,0,897,0,377,38,38,441,5374,4172,124,1055,Cerber
0,0,0,35940,113928,1676,27637,0,1275,0,0,0,0,1006527,655159,0,0,0,0,0,0,0,51840,182269,3482,17,193326,1330,5492,163936,66837,13819,300,0,194,209435,171,254,0,0,1728,657,0,266,0,906,0,380,40,40,447,5448,4172,124,1071,Cerber
0,0,0,36532,114080,1713,27679,0,1296,0,0,0,0,1031389,655384,0,0,0,0,0,0,0,51846,183787,3528,17,196615,1343,5557,165901,66968,14014,308,0,197,210587,177,263,0,0,1790,682,0,274,0,921,0,387,41,41,452,5472,4268,127,1084,Cerber
0,0,0,36752,114080,1725,27715,0,1307,0,0,0,0,1031765,655390,0,0,0,0,0,0,0,51847,185372,3583,18,198705,1364,5563,167667,74067,14283,308,0,197,210587,177,263,0,0,1790,682,0,274,0,953,0,401,41,41,471,5551,4268,127,1136,Cerber
0,0,0,36752,114080,1725,27715,0,1307,0,0,0,0,1031765,655390,0,0,0,0,0,0,0,51847,185372,129180,18,198705,1364,5563,167667,74067,14283,308,0,197,210587,177,263,0,0,1790,682,0,274,0,953,0,401,41,41,471,5551,4268,127,1136,Cerber
0,0,0,36799,114080,1733,27715,0,1309,0,0,0,0,1031805,655390,0,0,0,0,0,0,0,51847,185528,129183,18,198731,1370,5563,167816,74222,14338,324,0,197,210587,193,279,0,0,1805,697,0,274,0,957,0,402,41,41,471,5551,4268,127,1136,Cerber
0,0,0,37003,122314,1738,29372,0,1331,0,0,0,0,1050460,663945,0,0,0,0,0,0,0,56786,186000,129188,18,201087,1372,5569,168445,74257,14380,327,0,200,212123,193,279,0,0,1805,697,0,274,0,963,0,403,42,42,474,5565,4334,129,1142,Cerber
