CopyFileEx,0,,,,
CopyFile,0,,,,
DeleteFile,0,,,,
EncryptFile,0,,,,
NtReadFile,899,,,,
NtWriteFile,7248,,,,
GetFileAttributes,0,,,,
GetFileAttributesEx,0,,,,
CryptDeriveKey,0,,,,
CryptDecodeObject,0,,,,
CryptGenKey,0,,,,
CryptImportPublicKeyInfo,0,,,,
CryptAcquireContext,0,,,,
CryptAcquireContextW,0,,,,
RegCloseKey,125,,,,
RegCreateKeyExW,13,,,,
RegDeleteKeyW,0,,,,
RegQueryValueExW,76,,,,
RegSetValueExW,4,,,,
RegEnumKeyExA,0,,,,
RegOpenKeyExW,114,,,,
NtQueryValueKey,115,,,,
NtOpenKey,127,,,,
socket,0,,,,
InternetOpen,0,,,,
shutdown,0,,,,
sendto,0,,,,
connect,0,,,,
bind,0,,,,
listen,0,,,,
accept,0,,,,
recv,0,,,,
send,0,,,,
InternetOpenUrl,0,,,,
InternetReadFile,0,,,,
InternetWriteFile,0,,,,
CreateThread,96,,,,
CreateRemoteThread,0,,,,
NtResumeThread,14,,,,
NtGetContextThread,2,,,,
NtSetContextThread,1,,,,
CreateProcessInternalW,1,,,,
NtOpenProcess,9530,,,,
Process32NextW,0,,,,
Process32FirstW,0,,,,
NtTerminateProcess,3,,,,
FindNextFile,0,,,,
FindFirstFile,0,,,,
FindFirstFileEx,0,,,,
SetFilePointer,888,,,,
SetFilePointerEx,0,,,,
GetFileSize,0,,,,
GetFileSizeEx,0,,,,
SetFileAttributes,0,,,,
GetFileType,0,,,,
CopyFileEx,0,,,,
CopyFile,0,,,,
DeleteFile,0,,,,
EncryptFile,0,,,,
NtReadFile,900,,,,
NtWriteFile,7249,,,,
GetFileAttributes,0,,,,
GetFileAttributesEx,0,,,,
CryptDeriveKey,0,,,,
CryptDecodeObject,0,,,,
CryptGenKey,0,,,,
CryptImportPublicKeyInfo,0,,,,
CryptAcquireContext,0,,,,
CryptAcquireContextW,0,,,,
RegCloseKey,130,,,,
RegCreateKeyExW,13,,,,
RegDeleteKeyW,0,,,,
RegQueryValueExW,77,,,,
RegSetValueExW,4,,,,
RegEnumKeyExA,0,,,,
RegOpenKeyExW,118,,,,
NtQueryValueKey,121,,,,
NtOpenKey,134,,,,
socket,0,,,,
InternetOpen,0,,,,
shutdown,0,,,,
sendto,0,,,,
connect,0,,,,
bind,0,,,,
listen,0,,,,
accept,0,,,,
recv,0,,,,
send,0,,,,
InternetOpenUrl,0,,,,
InternetReadFile,0,,,,
InternetWriteFile,0,,,,
CreateThread,97,,,,
CreateRemoteThread,0,,,,
