fc,fr,fs,cr,cs,rs,fp,cp,rp,sp,label
-0.106012532,-0.082417439,0.289087434,-0.152830757,-0.059229904,0.360065723,-0.170747457,-0.092022833,0.661682238,-0.108914536,Locky
0.084398463,-0.121477734,-0.225040907,-0.081175418,0.077788295,-0.170640209,-0.25883606,0.032337318,0.740960166,-0.141439602,CryptoWall
-0.106675591,-0.209085923,-0.07336786,-0.124793984,-0.062816619,0.605379194,-0.192754517,-0.035969721,0.556504467,-0.116940736,Cerber
0.085810419,-0.084966777,-0.046932794,-0.131203392,-0.062501011,0.050236248,-0.140873713,-0.092273632,0.712432177,-0.072146014,Bengin
-0.052191674,-0.046445483,-0.096278186,-0.12679518,-0.062587776,-0.054803085,-0.108947896,-0.08908889,0.388020547,-0.074416176,Bengin
-0.088394186,-0.141371831,0.276631155,-0.136300459,-0.05972156,0.137627267,-0.105257118,-0.06276923,0.154061135,-0.065465493,Locky
-0.095390381,-0.209801358,-0.072232133,-0.133433199,-0.062258164,0.566355293,-0.170483614,-0.043697434,0.487735088,-0.116774825,Cerber
-0.105999226,-0.082404314,0.289034515,-0.152715064,-0.058940262,0.360174605,-0.170767593,-0.092019095,0.661157538,-0.108941186,Locky
0.009969795,-0.093035719,-0.2086384,-0.126004616,0.190854332,-0.181643046,-0.103670901,-0.062370827,0.552768689,-0.147056839,TeslaCrypt
0.036194465,0.090921757,-0.078262982,-0.140570441,-0.062591443,-0.013876289,-0.134331317,-0.085384613,0.513659459,-0.074961671,Bengin
-0.056318605,0.162549343,-0.214187067,-0.135384725,0.11131474,0.297545051,-0.097519749,-0.064584081,-0.012952488,-0.150600091,Reveton
-0.045156519,0.276031679,-0.155377574,-0.141231354,-0.067529023,-0.069567039,-0.117217304,-0.071260281,0.477347967,-0.085126813,Reveton
-0.1064218,-0.057175318,0.302569198,-0.152084741,-0.0575208,0.393750736,-0.166195749,-0.091568906,0.652315968,-0.108622859,Locky
-0.106364317,-0.074007944,0.295008156,-0.152568806,-0.058370598,0.369940297,-0.170662916,-0.092721085,0.661877995,-0.109862585,Locky
-0.039081467,-0.144699701,-0.029985875,-0.12933001,-0.066862009,0.103699105,-0.147285774,-0.080276922,0.392367872,-0.0681691,Cryptolocker
-0.054340567,0.292421711,-0.151425866,-0.143242798,-0.06573403,-0.028712978,-0.111085853,-0.071909335,0.384955852,-0.088343155,Reveton
0.042493587,-0.003081136,-0.075246633,-0.141691186,-0.062497683,-0.012251316,-0.138643529,-0.090825673,0.643533293,-0.073132948,Bengin
-0.052716435,-0.052024614,-0.095153658,-0.128539921,-0.062595721,-0.051732168,-0.108608022,-0.088962311,0.397294368,-0.074521232,Bengin
0.085810419,-0.084969205,-0.046932794,-0.131203681,-0.062501011,0.050263416,-0.140876532,-0.092275286,0.712427682,-0.07214762,Bengin
-0.106489565,-0.061713556,0.300310404,-0.152416236,-0.058370598,0.38827293,-0.168576368,-0.092395566,0.655580526,-0.109508604,Locky
-0.105155036,-0.102302556,0.285135957,-0.152480329,-0.061797677,0.312825289,-0.170525751,-0.092667335,0.679907572,-0.109302077,Locky
-0.054190101,0.235303374,-0.153607578,-0.142548045,-0.055126809,0.034075721,-0.099413454,-0.064457836,0.184523358,-0.078489629,Reveton
-0.107150314,-0.215983201,-0.074717767,-0.127098636,-0.062880663,0.587498885,-0.190813415,-0.037111003,0.564063411,-0.115539297,Cerber
0.081650364,-0.112174877,-0.217598432,-0.079328334,0.06726831,-0.170998983,-0.252546313,0.041085637,0.771920728,-0.147038785,CryptoWall
-0.046231545,0.088416199,-0.11011653,-0.110503119,0.458996335,0.076100432,-0.101811151,-0.064526908,-0.093403746,-0.149955291,Genasom
